video,prompt
robot/001.mp4,The mechanical arm folds clothes
robot/002.mp4,The mechanical arm folds clothes
robot/003.mp4,The mechanical arm folds clothes
robot/004.mp4,The mechanical arm folds clothes
robot/005.mp4,The mechanical arm folds clothes
robot/006.mp4,The mechanical arm folds clothes
robot/007.mp4,The mechanical arm folds clothes
robot/008.mp4,The mechanical arm folds clothes
robot/009.mp4,The mechanical arm folds clothes
robot/010.mp4,The mechanical arm folds clothes
robot/011.mp4,The mechanical arm folds clothes
robot/012.mp4,The mechanical arm folds clothes
robot/013.mp4,The mechanical arm folds clothes
robot/014.mp4,The mechanical arm folds clothes
robot/015.mp4,The mechanical arm folds clothes
robot/016.mp4,The mechanical arm folds clothes
robot/017.mp4,The mechanical arm folds clothes
robot/018.mp4,The mechanical arm folds clothes
robot/019.mp4,The mechanical arm folds clothes
robot/020.mp4,The mechanical arm folds clothes
robot/021.mp4,The mechanical arm folds clothes
